no;source;target;module;weight
391;findExistingSessionDBProd;table;loginActivity;3599
392;findExistingSessionDBProd;loginActivity;loginActivity;3599
393;createSessionDBProd;connection;loginActivity;3599
394;createSessionDBProd;statusCode;loginActivity;3599
395;createSessionDBProd;table;loginActivity;3599
396;createSessionDBProd;loginActivity;loginActivity;3599
397;replaceTokenIdDBProd;connection;loginActivity;3599
398;replaceTokenIdDBProd;statusCode;loginActivity;3599
399;replaceTokenIdDBProd;table;loginActivity;3599
400;replaceTokenIdDBProd;loginActivity;loginActivity;3599
401;logoffAllMobileSessionDBProd;connection;loginActivity;3599
402;logoffAllMobileSessionDBProd;statusCode;loginActivity;3599
403;logoffAllMobileSessionDBProd;table;loginActivity;3599
404;logoffAllMobileSessionDBProd;loginActivity;loginActivity;3599
405;logoffOneMobileSessionDBProd;connection;loginActivity;3599
406;logoffOneMobileSessionDBProd;statusCode;loginActivity;3599
407;logoffOneMobileSessionDBProd;table;loginActivity;3599
408;logoffOneMobileSessionDBProd;loginActivity;loginActivity;3599
409;logoffSessionDBProd;connection;loginActivity;3599
410;logoffSessionDBProd;statusCode;loginActivity;3599
411;logoffSessionDBProd;table;loginActivity;3599
412;logoffSessionDBProd;loginActivity;loginActivity;3599
413;removeAllUserSession;connection;loginActivity;3599
414;removeAllUserSession;statusCode;loginActivity;3599
415;removeAllUserSession;table;loginActivity;3599
416;removeAllUserSession;loginActivity;loginActivity;3599
417;logonSessionDBProd;connection;loginActivity;3599
418;logonSessionDBProd;statusCode;loginActivity;3599
419;logonSessionDBProd;table;loginActivity;3599
420;logonSessionDBProd;loginActivity;loginActivity;3599
421;updateSessionDBProd;connection;loginActivity;3599
422;updateSessionDBProd;statusCode;loginActivity;3599
423;updateSessionDBProd;table;loginActivity;3599
424;updateSessionDBProd;loginActivity;loginActivity;3599
425;getActiveMobileSession;connection;loginActivity;3599
426;getActiveMobileSession;statusCode;loginActivity;3599
427;getActiveMobileSession;table;loginActivity;3599
428;getActiveMobileSession;loginActivity;loginActivity;3599
429;getNotifByUUID;connection;notifActivity;3599
430;getNotifByUUID;table;notifActivity;3599
431;getNotifByUUID;notifActivity;notifActivity;3599
432;updateReadNotif;connection;notifActivity;3599
433;updateReadNotif;table;notifActivity;3599
434;updateReadNotif;notifActivity;notifActivity;3599
435;createTemporarySession;connection;temporarySession;3599
436;createTemporarySession;table;temporarySession;3599
437;createTemporarySession;temporarySession;temporarySession;3599
438;updateStateTemporarySession;connection;temporarySession;3599
439;updateStateTemporarySession;table;temporarySession;3599
440;updateStateTemporarySession;temporarySession;temporarySession;3599
441;checkReverifySession;connection;temporarySession;3599
442;checkReverifySession;table;temporarySession;3599
443;checkReverifySession;temporarySession;temporarySession;3599
444;checkToken;connection;temporarySession;3599
445;checkToken;table;temporarySession;3599
446;checkToken;temporarySession;temporarySession;3599
447;getUserGroupNow;connection;users;3599
448;getUserGroupNow;encodeMD5;users;3599
449;getUserGroupNow;statusCode;users;3599
450;getUserGroupNow;table;users;3599
451;getUserGroupNow;organizations;users;3599
452;getUserGroupNow;user_groups;users;3599
453;getUserGroupNow;trGA;users;3599
454;getUserGroupNow;groups;users;3599
455;getUserGroupNow;users;users;3599
456;getUserMfaSettings;connection;users;3599
457;getUserMfaSettings;encodeMD5;users;3599
458;getUserMfaSettings;statusCode;users;3599
459;getUserMfaSettings;table;users;3599
460;getUserMfaSettings;organizations;users;3599
461;getUserMfaSettings;user_groups;users;3599
462;getUserMfaSettings;trGA;users;3599
463;getUserMfaSettings;groups;users;3599
464;getUserMfaSettings;users;users;3599
465;getUserSSOValidated;connection;users;3599
466;getUserSSOValidated;encodeMD5;users;3599
467;getUserSSOValidated;statusCode;users;3599
468;getUserSSOValidated;table;users;3599
469;getUserSSOValidated;organizations;users;3599
470;getUserSSOValidated;user_groups;users;3599
471;getUserSSOValidated;trGA;users;3599
472;getUserSSOValidated;groups;users;3599
473;getUserSSOValidated;users;users;3599
474;checkUserPass;connection;users;3599
475;checkUserPass;encodeMD5;users;3599
476;checkUserPass;statusCode;users;3599
477;checkUserPass;table;users;3599
478;checkUserPass;organizations;users;3599
479;checkUserPass;user_groups;users;3599
480;checkUserPass;trGA;users;3599
481;checkUserPass;groups;users;3599
482;checkUserPass;users;users;3599
483;checkIsThereAnyUsername;connection;users;3599
484;checkIsThereAnyUsername;encodeMD5;users;3599
485;checkIsThereAnyUsername;statusCode;users;3599
486;checkIsThereAnyUsername;table;users;3599
487;checkIsThereAnyUsername;organizations;users;3599
488;checkIsThereAnyUsername;user_groups;users;3599
489;checkIsThereAnyUsername;trGA;users;3599
490;checkIsThereAnyUsername;groups;users;3599
491;checkIsThereAnyUsername;users;users;3599
492;checkUserName;connection;users;3599
493;checkUserName;encodeMD5;users;3599
494;checkUserName;statusCode;users;3599
495;checkUserName;table;users;3599
496;checkUserName;organizations;users;3599
497;checkUserName;user_groups;users;3599
498;checkUserName;trGA;users;3599
499;checkUserName;groups;users;3599
500;checkUserName;users;users;3599
501;checkUserStatus;connection;users;3599
502;checkUserStatus;encodeMD5;users;3599
503;checkUserStatus;statusCode;users;3599
504;checkUserStatus;table;users;3599
505;checkUserStatus;organizations;users;3599
506;checkUserStatus;user_groups;users;3599
507;checkUserStatus;trGA;users;3599
508;checkUserStatus;groups;users;3599
509;checkUserStatus;users;users;3599
510;checkNpwpActive;connection;users;3599
511;checkNpwpActive;encodeMD5;users;3599
512;checkNpwpActive;statusCode;users;3599
513;checkNpwpActive;table;users;3599
514;checkNpwpActive;organizations;users;3599
515;checkNpwpActive;user_groups;users;3599
516;checkNpwpActive;trGA;users;3599
517;checkNpwpActive;groups;users;3599
518;checkNpwpActive;users;users;3599
519;getUserSSO;connection;users;3599
520;getUserSSO;encodeMD5;users;3599
521;getUserSSO;statusCode;users;3599
522;getUserSSO;table;users;3599
523;getUserSSO;organizations;users;3599
524;getUserSSO;user_groups;users;3599
525;getUserSSO;trGA;users;3599
526;getUserSSO;groups;users;3599
527;getUserSSO;users;users;3599
528;sso_findaccount_profile;connection;users;3599
529;sso_findaccount_profile;encodeMD5;users;3599
530;sso_findaccount_profile;statusCode;users;3599
531;sso_findaccount_profile;table;users;3599
532;sso_findaccount_profile;organizations;users;3599
533;sso_findaccount_profile;user_groups;users;3599
534;sso_findaccount_profile;trGA;users;3599
535;sso_findaccount_profile;groups;users;3599
536;sso_findaccount_profile;users;users;3599
537;sso_findaccount_organization;connection;users;3599
538;sso_findaccount_organization;encodeMD5;users;3599
539;sso_findaccount_organization;statusCode;users;3599
540;sso_findaccount_organization;table;users;3599
541;sso_findaccount_organization;organizations;users;3599
542;sso_findaccount_organization;user_groups;users;3599
543;sso_findaccount_organization;trGA;users;3599
544;sso_findaccount_organization;groups;users;3599
545;sso_findaccount_organization;users;users;3599
546;getUserSSOMin;connection;users;3599
547;getUserSSOMin;encodeMD5;users;3599
548;getUserSSOMin;statusCode;users;3599
549;getUserSSOMin;table;users;3599
550;getUserSSOMin;organizations;users;3599
551;getUserSSOMin;user_groups;users;3599
552;getUserSSOMin;trGA;users;3599
553;getUserSSOMin;groups;users;3599
554;getUserSSOMin;users;users;3599
555;getUserData;connection;users;3599
556;getUserData;encodeMD5;users;3599
557;getUserData;statusCode;users;3599
558;getUserData;table;users;3599
559;getUserData;organizations;users;3599
560;getUserData;user_groups;users;3599
561;getUserData;trGA;users;3599
562;getUserData;groups;users;3599
563;getUserData;users;users;3599
564;checkPasswordMatch;connection;users;3599
565;checkPasswordMatch;encodeMD5;users;3599
566;checkPasswordMatch;statusCode;users;3599
567;checkPasswordMatch;table;users;3599
568;checkPasswordMatch;organizations;users;3599
569;checkPasswordMatch;user_groups;users;3599
570;checkPasswordMatch;trGA;users;3599
571;checkPasswordMatch;groups;users;3599
572;checkPasswordMatch;users;users;3599
573;getUserDataMin;connection;users;3599
